"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"peaks_x121",49,53,26.7035,0.833829915183127,4.82290061143159e-06,"hepa","41181","10"
"peaks_x221",291,301,93.9738,0.133802534991722,5.49751607462025e-06,"hepa","41181","10"
"peaks_x32",424,429,75.6999,0.996527667511282,6.58852539520514e-06,"hepa","41181","10"
"peaks_x42",583,593,120.3692,0.462337816949188,3.88145478812296e-06,"hepa","41181","10"
"peaks_x52",715,719,46.1053,1.42502345130071,2.38968159662547e-06,"hepa","41181","10"
"peaks_x62",752,758,46.6432,0.383550441104366,2.1908680064197e-06,"hepa","41181","10"
"peaks_x71",843,850,149.4096,0.382836540942999,1.28353722758536e-06,"hepa","41181","10"
"peaks_x81",900,906,39.847,0.863404000063085,2.64969234554002e-06,"hepa","41181","10"
"peaks_x15",578,605,11.1418,0.105771788376848,5.14432014856157e-07,"sham","41271","1"
"peaks_x16",682,688,5.2594,0.499795270971166,2.77541379541666e-06,"sham","41271","1"
"peaks_x24",721,735,8.0076,0.0461953677642008,1.43921167113312e-07,"sham","41271","1"
"peaks_x34",841,847,6.2426,0.0336188467971147,4.07442554247302e-06,"sham","41271","1"
"peaks_x44",990,1021,14.0564,0.0739290325641028,4.44747282184403e-07,"sham","41271","1"
"peaks_x64",578,605,15.3323,0.107443738895875,9.29603918095713e-07,"sham","41271","2.5"
"peaks_x112",682,688,5.4289,0.576228845589353,5.50554761906724e-06,"sham","41271","2.5"
"peaks_x212",721,744,8.8893,0.0858964537293523,2.21133590348653e-06,"sham","41271","2.5"
"peaks_x312",841,854,6.9815,0.168250993979245,2.55560252903736e-07,"sham","41271","2.5"
"peaks_x411",914,948,6.1903,0.0795028765185266,3.54470323823209e-07,"sham","41271","2.5"
"peaks_x54",990,1021,14.6225,0.0764353155357595,6.47534521858693e-07,"sham","41271","2.5"
"peaks_x73",478,483,25.3506,1.47085082995235,2.72564347445698e-06,"sham","41271","10"
"peaks_x122",577,586,21.6459,0.241166051177066,3.70207516292381e-06,"sham","41271","10"
"peaks_x222",717,727,22.7698,0.944881884597619,4.87358876794636e-06,"sham","41271","10"
"peaks_x25",3,44,22.6414,0.288025748317335,1.87779066963561e-07,"sham","42231","1"
"peaks_x113",215,329,10.4411,0.0411269136766711,1.5842408731325e-06,"sham","42231","1"
"peaks_x26",349,429,188.6482,0.136132219949223,7.05113232070447e-07,"sham","42231","1"
"peaks_x213",2,17,63.5619,0.270037160192934,3.33361824567311e-06,"sham","42231","2.5"
"peaks_x110",115,152,11.0969,0.088967112199229,2.63091399326251e-07,"sham","42231","2.5"
"peaks_x223",232,300,15.3585,0.0785840347087626,1.43569402016072e-06,"sham","42231","2.5"
"peaks_x35",349,429,221.9121,0.148776085858176,1.2048185899648e-06,"sham","42231","2.5"
"peaks_x45",553,655,18.766,0.113927937505134,7.50640110196007e-07,"sham","42231","2.5"
"peaks_x231",2,14,159.5792,0.383991729026981,5.09511277217034e-06,"sham","42231","10"
"peaks_x1111",23,27,20.4305,1.06340822289558,1.90058703675307e-06,"sham","42231","10"
"peaks_x241",71,80,20.9343,0.639554553528242,3.67082862213983e-06,"sham","42231","10"
"peaks_x313",114,140,69.4083,0.285965442116829,2.85566417906643e-06,"sham","42231","10"
"peaks_x412",266,299,28.1668,0.423534522302746,2.39198916610986e-06,"sham","42231","10"
